date,traded_companies,no_of_transaction,max_price,min_price,closing_price,traded_shares,amount,previous_closing,difference_rs
7/22/2012,Arun Valley Hydropower Development Co. Ltd.,6.0,318.0,300.0,318.0,158.0,48438.0,306.0,12.0
7/23/2012,Arun Valley Hydropower Development Co. Ltd.,13.0,318.0,306.0,314.0,349.0,109286.0,318.0,-4.0
7/24/2012,Arun Valley Hydropower Development Co. Ltd.,6.0,308.0,302.0,305.0,126.0,38244.0,314.0,-9.0
7/25/2012,Arun Valley Hydropower Development Co. Ltd.,14.0,308.0,305.0,308.0,512.0,157172.0,305.0,3.0
7/26/2012,Arun Valley Hydropower Development Co. Ltd.,9.0,309.0,306.0,309.0,573.0,175989.0,308.0,1.0
7/29/2012,Arun Valley Hydropower Development Co. Ltd.,6.0,315.0,310.0,315.0,156.0,48980.0,309.0,6.0
7/30/2012,Arun Valley Hydropower Development Co. Ltd.,18.0,310.0,300.0,306.0,1507.0,463341.0,315.0,-9.0
7/31/2012,Arun Valley Hydropower Development Co. Ltd.,4.0,308.0,306.0,308.0,125.0,38344.0,306.0,2.0
8/1/2012,Arun Valley Hydropower Development Co. Ltd.,9.0,308.0,305.0,305.0,242.0,74202.0,308.0,-3.0
8/5/2012,Arun Valley Hydropower Development Co. Ltd.,16.0,316.0,301.0,316.0,378.0,116652.0,305.0,11.0
8/6/2012,Arun Valley Hydropower Development Co. Ltd.,6.0,317.0,312.0,315.0,939.0,295460.0,316.0,-1.0
8/7/2012,Arun Valley Hydropower Development Co. Ltd.,6.0,316.0,312.0,316.0,1442.0,453852.0,315.0,1.0
8/8/2012,Arun Valley Hydropower Development Co. Ltd.,7.0,315.0,312.0,315.0,2553.0,796868.0,316.0,-1.0
8/12/2012,Arun Valley Hydropower Development Co. Ltd.,63.0,339.0,320.0,339.0,4727.0,1598081.0,315.0,24.0
8/13/2012,Arun Valley Hydropower Development Co. Ltd.,38.0,352.0,322.0,340.0,1862.0,629508.0,339.0,1.0
8/14/2012,Arun Valley Hydropower Development Co. Ltd.,14.0,341.0,334.0,335.0,457.0,153225.0,340.0,-5.0
8/15/2012,Arun Valley Hydropower Development Co. Ltd.,25.0,336.0,321.0,325.0,2040.0,666141.0,335.0,-10.0
8/16/2012,Arun Valley Hydropower Development Co. Ltd.,9.0,321.0,319.0,319.0,589.0,188852.0,325.0,-6.0
8/19/2012,Arun Valley Hydropower Development Co. Ltd.,36.0,350.0,318.0,345.0,2630.0,874286.0,319.0,26.0
8/21/2012,Arun Valley Hydropower Development Co. Ltd.,10.0,339.0,329.0,332.0,558.0,184629.0,345.0,-13.0
8/22/2012,Arun Valley Hydropower Development Co. Ltd.,18.0,335.0,320.0,328.0,1093.0,358018.0,332.0,-4.0
8/23/2012,Arun Valley Hydropower Development Co. Ltd.,16.0,334.0,325.0,330.0,1819.0,593156.0,328.0,2.0
8/26/2012,Arun Valley Hydropower Development Co. Ltd.,13.0,336.0,325.0,328.0,1447.0,473694.0,330.0,-2.0
8/27/2012,Arun Valley Hydropower Development Co. Ltd.,10.0,334.0,325.0,330.0,729.0,239512.0,328.0,2.0
8/28/2012,Arun Valley Hydropower Development Co. Ltd.,10.0,340.0,326.0,340.0,729.0,241709.0,330.0,10.0
8/29/2012,Arun Valley Hydropower Development Co. Ltd.,38.0,344.0,330.0,338.0,3702.0,1262543.0,340.0,-2.0
8/30/2012,Arun Valley Hydropower Development Co. Ltd.,24.0,345.0,340.0,344.0,3566.0,1217767.0,338.0,6.0
9/2/2012,Arun Valley Hydropower Development Co. Ltd.,23.0,346.0,340.0,346.0,905.0,310345.0,344.0,2.0
9/3/2012,Arun Valley Hydropower Development Co. Ltd.,35.0,350.0,335.0,350.0,7599.0,2623353.0,346.0,4.0
9/4/2012,Arun Valley Hydropower Development Co. Ltd.,10.0,348.0,342.0,347.0,239.0,82396.0,350.0,-3.0
9/5/2012,Arun Valley Hydropower Development Co. Ltd.,4.0,341.0,340.0,340.0,294.0,99976.0,347.0,-7.0
9/6/2012,Arun Valley Hydropower Development Co. Ltd.,10.0,344.0,335.0,341.0,1707.0,578214.0,340.0,1.0
9/9/2012,Arun Valley Hydropower Development Co. Ltd.,16.0,340.0,333.0,333.0,7197.0,2403689.0,341.0,-8.0
9/10/2012,Arun Valley Hydropower Development Co. Ltd.,31.0,339.0,330.0,335.0,10458.0,3466672.0,333.0,2.0
9/11/2012,Arun Valley Hydropower Development Co. Ltd.,8.0,335.0,331.0,332.0,1211.0,402144.0,335.0,-3.0
9/12/2012,Arun Valley Hydropower Development Co. Ltd.,12.0,335.0,330.0,335.0,4173.0,1387734.0,332.0,3.0
9/13/2012,Arun Valley Hydropower Development Co. Ltd.,5.0,335.0,335.0,335.0,155.0,51925.0,335.0,0.0
9/16/2012,Arun Valley Hydropower Development Co. Ltd.,36.0,338.0,322.0,332.0,36343.0,11757431.0,335.0,-3.0
9/17/2012,Arun Valley Hydropower Development Co. Ltd.,20.0,342.0,327.0,336.0,8640.0,2862949.0,332.0,4.0
9/18/2012,Arun Valley Hydropower Development Co. Ltd.,37.0,342.0,323.0,330.0,41410.0,13507016.0,336.0,-6.0
9/19/2012,Arun Valley Hydropower Development Co. Ltd.,48.0,341.0,326.0,330.0,24874.0,8192736.0,330.0,0.0
9/20/2012,Arun Valley Hydropower Development Co. Ltd.,14.0,333.0,322.0,330.0,18005.0,5852047.0,330.0,0.0
9/23/2012,Arun Valley Hydropower Development Co. Ltd.,13.0,335.0,322.0,328.0,11641.0,3763673.0,330.0,-2.0
9/24/2012,Arun Valley Hydropower Development Co. Ltd.,14.0,332.0,322.0,322.0,19786.0,6403391.0,328.0,-6.0
9/25/2012,Arun Valley Hydropower Development Co. Ltd.,8.0,330.0,325.0,328.0,849.0,276766.0,322.0,6.0
9/26/2012,Arun Valley Hydropower Development Co. Ltd.,15.0,335.0,332.0,335.0,869.0,289414.0,328.0,7.0
9/27/2012,Arun Valley Hydropower Development Co. Ltd.,17.0,341.0,320.0,334.0,19700.0,6360753.0,335.0,-1.0
9/30/2012,Arun Valley Hydropower Development Co. Ltd.,14.0,336.0,320.0,332.0,18465.0,5941202.0,334.0,-2.0
10/1/2012,Arun Valley Hydropower Development Co. Ltd.,9.0,334.0,326.0,334.0,1192.0,389750.0,332.0,2.0
10/2/2012,Arun Valley Hydropower Development Co. Ltd.,28.0,329.0,322.0,325.0,8123.0,2641129.0,334.0,-9.0
10/3/2012,Arun Valley Hydropower Development Co. Ltd.,42.0,330.0,322.0,325.0,10142.0,3283850.0,325.0,0.0
10/4/2012,Arun Valley Hydropower Development Co. Ltd.,15.0,330.0,325.0,327.0,4737.0,1546458.0,325.0,2.0
10/7/2012,Arun Valley Hydropower Development Co. Ltd.,31.0,341.0,322.0,341.0,18494.0,6002330.0,327.0,14.0
10/8/2012,Arun Valley Hydropower Development Co. Ltd.,19.0,347.0,326.0,326.0,4749.0,1571810.0,341.0,-15.0
10/9/2012,Arun Valley Hydropower Development Co. Ltd.,29.0,336.0,325.0,330.0,19845.0,6519971.0,326.0,4.0
10/10/2012,Arun Valley Hydropower Development Co. Ltd.,53.0,342.0,330.0,330.0,8034.0,2675460.0,330.0,0.0
10/11/2012,Arun Valley Hydropower Development Co. Ltd.,74.0,340.0,325.0,340.0,33337.0,10881452.0,330.0,10.0
10/14/2012,Arun Valley Hydropower Development Co. Ltd.,15.0,352.0,336.0,344.0,2493.0,849303.0,340.0,4.0
10/15/2012,Arun Valley Hydropower Development Co. Ltd.,16.0,349.0,339.0,344.0,2171.0,742591.0,344.0,0.0
10/17/2012,Arun Valley Hydropower Development Co. Ltd.,14.0,345.0,335.0,345.0,4409.0,1490275.0,344.0,1.0
10/18/2012,Arun Valley Hydropower Development Co. Ltd.,21.0,346.0,341.0,344.0,1647.0,565698.0,345.0,-1.0
10/30/2012,Arun Valley Hydropower Development Co. Ltd.,20.0,347.0,320.0,332.0,26759.0,8588064.0,344.0,-12.0
11/5/2012,Arun Valley Hydropower Development Co. Ltd.,6.0,317.0,294.0,317.0,93.0,28727.0,332.0,-15.0
11/6/2012,Arun Valley Hydropower Development Co. Ltd.,10.0,340.0,323.0,330.0,3980.0,1321240.0,317.0,13.0
11/7/2012,Arun Valley Hydropower Development Co. Ltd.,6.0,334.0,329.0,334.0,2130.0,702840.0,330.0,4.0
11/8/2012,Arun Valley Hydropower Development Co. Ltd.,9.0,340.0,334.0,336.0,2533.0,856318.0,334.0,2.0
11/11/2012,Arun Valley Hydropower Development Co. Ltd.,26.0,348.0,332.0,332.0,4576.0,1557654.0,336.0,-4.0
11/12/2012,Arun Valley Hydropower Development Co. Ltd.,7.0,344.0,329.0,344.0,544.0,183776.0,332.0,12.0
11/18/2012,Arun Valley Hydropower Development Co. Ltd.,7.0,349.0,340.0,341.0,1836.0,630616.0,344.0,-3.0
11/20/2012,Arun Valley Hydropower Development Co. Ltd.,6.0,348.0,345.0,348.0,1382.0,478868.0,341.0,7.0
11/21/2012,Arun Valley Hydropower Development Co. Ltd.,13.0,350.0,343.0,348.0,1145.0,398397.0,348.0,0.0
11/22/2012,Arun Valley Hydropower Development Co. Ltd.,4.0,348.0,343.0,347.0,384.0,132892.0,348.0,-1.0
11/25/2012,Arun Valley Hydropower Development Co. Ltd.,5.0,354.0,348.0,350.0,1177.0,412122.0,347.0,3.0
11/26/2012,Arun Valley Hydropower Development Co. Ltd.,7.0,347.0,341.0,347.0,1856.0,637469.0,350.0,-3.0
11/27/2012,Arun Valley Hydropower Development Co. Ltd.,12.0,347.0,340.0,340.0,1041.0,356169.0,347.0,-7.0
11/28/2012,Arun Valley Hydropower Development Co. Ltd.,5.0,338.0,334.0,338.0,531.0,178316.0,340.0,-2.0
11/29/2012,Arun Valley Hydropower Development Co. Ltd.,12.0,338.0,320.0,331.0,2046.0,661786.0,338.0,-7.0
12/2/2012,Arun Valley Hydropower Development Co. Ltd.,13.0,326.0,302.0,326.0,7511.0,2304950.0,331.0,-5.0
12/3/2012,Arun Valley Hydropower Development Co. Ltd.,3.0,322.0,319.0,319.0,93.0,29822.0,326.0,-7.0
12/4/2012,Arun Valley Hydropower Development Co. Ltd.,8.0,336.0,325.0,336.0,689.0,227231.0,319.0,17.0
12/5/2012,Arun Valley Hydropower Development Co. Ltd.,5.0,336.0,325.0,330.0,1112.0,365166.0,336.0,-6.0
12/6/2012,Arun Valley Hydropower Development Co. Ltd.,7.0,331.0,325.0,329.0,2759.0,902832.0,330.0,-1.0
12/9/2012,Arun Valley Hydropower Development Co. Ltd.,8.0,329.0,317.0,317.0,6426.0,2074400.0,329.0,-12.0
12/10/2012,Arun Valley Hydropower Development Co. Ltd.,4.0,323.0,317.0,323.0,886.0,282668.0,317.0,6.0
12/11/2012,Arun Valley Hydropower Development Co. Ltd.,14.0,323.0,312.0,312.0,4820.0,1516399.0,323.0,-11.0
12/12/2012,Arun Valley Hydropower Development Co. Ltd.,9.0,332.0,314.0,329.0,5469.0,1741026.0,312.0,17.0
12/13/2012,Arun Valley Hydropower Development Co. Ltd.,3.0,335.0,330.0,330.0,1066.0,352110.0,329.0,1.0
12/16/2012,Arun Valley Hydropower Development Co. Ltd.,15.0,346.0,330.0,334.0,8710.0,2942994.0,330.0,4.0
12/17/2012,Arun Valley Hydropower Development Co. Ltd.,11.0,340.0,330.0,330.0,3534.0,1178996.0,334.0,-4.0
12/18/2012,Arun Valley Hydropower Development Co. Ltd.,17.0,329.0,320.0,323.0,12990.0,4186358.0,330.0,-7.0
12/19/2012,Arun Valley Hydropower Development Co. Ltd.,16.0,327.0,319.0,321.0,4591.0,1479049.0,323.0,-2.0
12/20/2012,Arun Valley Hydropower Development Co. Ltd.,15.0,325.0,318.0,325.0,5640.0,1811420.0,321.0,4.0
12/23/2012,Arun Valley Hydropower Development Co. Ltd.,26.0,328.0,320.0,324.0,12374.0,3973548.0,325.0,-1.0
12/24/2012,Arun Valley Hydropower Development Co. Ltd.,21.0,334.0,320.0,332.0,7029.0,2287493.0,324.0,8.0
12/26/2012,Arun Valley Hydropower Development Co. Ltd.,19.0,349.0,335.0,335.0,5033.0,1700775.0,332.0,3.0
12/27/2012,Arun Valley Hydropower Development Co. Ltd.,9.0,336.0,330.0,330.0,3226.0,1072736.0,335.0,-5.0
12/31/2012,Arun Valley Hydropower Development Co. Ltd.,4.0,332.0,330.0,330.0,882.0,292260.0,330.0,0.0
1/1/2013,Arun Valley Hydropower Development Co. Ltd.,16.0,330.0,322.0,322.0,3331.0,1080839.0,330.0,-8.0
1/2/2013,Arun Valley Hydropower Development Co. Ltd.,7.0,329.0,322.0,328.0,649.0,211305.0,322.0,6.0
1/3/2013,Arun Valley Hydropower Development Co. Ltd.,2.0,330.0,330.0,330.0,231.0,76230.0,328.0,2.0
1/7/2013,Arun Valley Hydropower Development Co. Ltd.,10.0,325.0,322.0,324.0,925.0,300197.0,321.0,3.0
1/8/2013,Arun Valley Hydropower Development Co. Ltd.,1.0,324.0,324.0,324.0,1000.0,324000.0,324.0,0.0
1/9/2013,Arun Valley Hydropower Development Co. Ltd.,3.0,320.0,320.0,320.0,978.0,312960.0,324.0,-4.0
1/10/2013,Arun Valley Hydropower Development Co. Ltd.,3.0,322.0,320.0,322.0,13938.0,4460285.0,320.0,2.0
1/13/2013,Arun Valley Hydropower Development Co. Ltd.,6.0,323.0,319.0,323.0,454.0,145823.0,322.0,1.0
1/15/2013,Arun Valley Hydropower Development Co. Ltd.,2.0,321.0,321.0,321.0,32.0,10272.0,323.0,-2.0
1/16/2013,Arun Valley Hydropower Development Co. Ltd.,2.0,322.0,322.0,322.0,62.0,19964.0,321.0,1.0
1/17/2013,Arun Valley Hydropower Development Co. Ltd.,1.0,320.0,320.0,320.0,500.0,160000.0,322.0,-2.0
1/21/2013,Arun Valley Hydropower Development Co. Ltd.,5.0,324.0,322.0,322.0,194.0,62647.0,320.0,2.0
1/22/2013,Arun Valley Hydropower Development Co. Ltd.,10.0,330.0,322.0,329.0,266.0,86537.0,322.0,7.0
1/23/2013,Arun Valley Hydropower Development Co. Ltd.,11.0,328.0,318.0,321.0,1998.0,641611.0,329.0,-8.0
1/24/2013,Arun Valley Hydropower Development Co. Ltd.,15.0,320.0,311.0,311.0,3998.0,1254698.0,321.0,-10.0
1/27/2013,Arun Valley Hydropower Development Co. Ltd.,13.0,317.0,305.0,305.0,590.0,183466.0,311.0,-6.0
1/28/2013,Arun Valley Hydropower Development Co. Ltd.,5.0,311.0,305.0,310.0,2108.0,648950.0,305.0,5.0
1/30/2013,Arun Valley Hydropower Development Co. Ltd.,3.0,310.0,305.0,310.0,2100.0,646000.0,310.0,0.0
1/31/2013,Arun Valley Hydropower Development Co. Ltd.,5.0,307.0,307.0,307.0,95.0,29165.0,310.0,-3.0
2/3/2013,Arun Valley Hydropower Development Co. Ltd.,7.0,318.0,308.0,318.0,1293.0,407074.0,307.0,11.0
2/4/2013,Arun Valley Hydropower Development Co. Ltd.,5.0,335.0,323.0,335.0,87.0,28677.0,318.0,17.0
2/5/2013,Arun Valley Hydropower Development Co. Ltd.,3.0,353.0,341.0,353.0,40.0,13820.0,335.0,18.0
2/6/2013,Arun Valley Hydropower Development Co. Ltd.,3.0,347.0,341.0,341.0,300.0,103210.0,353.0,-12.0
2/12/2013,Arun Valley Hydropower Development Co. Ltd.,16.0,335.0,319.0,320.0,3841.0,1233016.0,341.0,-21.0
2/13/2013,Arun Valley Hydropower Development Co. Ltd.,11.0,323.0,318.0,320.0,1109.0,355124.0,320.0,0.0
2/14/2013,Arun Valley Hydropower Development Co. Ltd.,11.0,324.0,315.0,315.0,1637.0,519085.0,320.0,-5.0
2/17/2013,Arun Valley Hydropower Development Co. Ltd.,2.0,327.0,321.0,327.0,50.0,16290.0,315.0,12.0
2/19/2013,Arun Valley Hydropower Development Co. Ltd.,8.0,347.0,329.0,347.0,4805.0,1584705.0,327.0,20.0
2/20/2013,Arun Valley Hydropower Development Co. Ltd.,7.0,341.0,323.0,329.0,308.0,101452.0,347.0,-18.0
2/21/2013,Arun Valley Hydropower Development Co. Ltd.,4.0,323.0,318.0,318.0,1396.0,444348.0,329.0,-11.0
2/24/2013,Arun Valley Hydropower Development Co. Ltd.,6.0,324.0,313.0,316.0,908.0,289639.0,318.0,-2.0
2/25/2013,Arun Valley Hydropower Development Co. Ltd.,3.0,315.0,312.0,312.0,331.0,103465.0,316.0,-4.0
