parameter_name,parameter_code,series_name,data
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:23:00+00:00', 'value': 66.3, 'aqi': 56.071786310517524}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 66.0999984741, 'datetime': '2020-03-24T02:24:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 61.4000015259, 'datetime': '2020-03-24T02:25:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 74.8000030518, 'datetime': '2020-03-24T02:26:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 67.5999984741, 'datetime': '2020-03-24T02:27:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 68.5, 'datetime': '2020-03-24T02:28:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 69.8000030518, 'datetime': '2020-03-24T02:29:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 69.4000015259, 'datetime': '2020-03-24T02:30:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 85, 'datetime': '2020-03-24T02:31:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 59.6000022888, 'datetime': '2020-03-24T02:32:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 89.4000015259, 'datetime': '2020-03-24T02:33:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 92.0999984741, 'datetime': '2020-03-24T02:34:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 72.5999984741, 'datetime': '2020-03-24T02:35:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 77.4000015259, 'datetime': '2020-03-24T02:36:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 71.5999984741, 'datetime': '2020-03-24T02:37:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 70.5999984741, 'datetime': '2020-03-24T02:38:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 75.5999984741, 'datetime': '2020-03-24T02:39:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:40:00+00:00', 'value': 92, 'aqi': 77.09515859766277}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:41:00+00:00', 'value': 69.2000045776}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:42:00+00:00', 'value': 93.3000030518}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:43:00+00:00', 'value': 87}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:44:00+00:00', 'value': 82.3000030518}"
